,DateTime,SleepStage,time_min,date,valid
0,2023-12-01 00:00:00,0,00:00:00,12/01/2023,
1,2023-12-01 00:01:00,0,00:01:00,12/01/2023,
2,2023-12-01 00:02:00,0,00:02:00,12/01/2023,
3,2023-12-01 00:03:00,0,00:03:00,12/01/2023,
4,2023-12-01 00:04:00,0,00:04:00,12/01/2023,
5,2023-12-01 00:05:00,0,00:05:00,12/01/2023,
6,2023-12-01 00:06:00,0,00:06:00,12/01/2023,
7,2023-12-01 00:07:00,0,00:07:00,12/01/2023,
8,2023-12-01 00:08:00,0,00:08:00,12/01/2023,
9,2023-12-01 00:09:00,0,00:09:00,12/01/2023,
10,2023-12-01 00:10:00,0,00:10:00,12/01/2023,
11,2023-12-01 00:11:00,0,00:11:00,12/01/2023,
12,2023-12-01 00:12:00,0,00:12:00,12/01/2023,
13,2023-12-01 00:13:00,0,00:13:00,12/01/2023,
14,2023-12-01 00:14:00,0,00:14:00,12/01/2023,
15,2023-12-01 00:15:00,0,00:15:00,12/01/2023,
16,2023-12-01 00:16:00,0,00:16:00,12/01/2023,
17,2023-12-01 00:17:00,0,00:17:00,12/01/2023,
18,2023-12-01 00:18:00,0,00:18:00,12/01/2023,
19,2023-12-01 00:19:00,0,00:19:00,12/01/2023,
20,2023-12-01 00:20:00,0,00:20:00,12/01/2023,
21,2023-12-01 00:21:00,0,00:21:00,12/01/2023,
22,2023-12-01 00:22:00,0,00:22:00,12/01/2023,
23,2023-12-01 00:23:00,0,00:23:00,12/01/2023,
24,2023-12-01 00:24:00,0,00:24:00,12/01/2023,
25,2023-12-01 00:25:00,0,00:25:00,12/01/2023,
26,2023-12-01 00:26:00,0,00:26:00,12/01/2023,
27,2023-12-01 00:27:00,0,00:27:00,12/01/2023,
28,2023-12-01 00:28:00,0,00:28:00,12/01/2023,
29,2023-12-01 00:29:00,0,00:29:00,12/01/2023,
30,2023-12-01 00:30:00,0,00:30:00,12/01/2023,
31,2023-12-01 00:31:00,0,00:31:00,12/01/2023,
32,2023-12-01 00:32:00,0,00:32:00,12/01/2023,
