hour,minute,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21
0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
0,1,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
0,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
0,3,2,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
0,4,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
0,5,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
0,6,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
